Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates
YCB;Cambridge Bay;Cambridge Bay;Canada;CA;69.116667;-105.133333;906;\N;6251999;69.116667, -105.133333
YKD;Township Airport;Kincardine;Canada;CA;44.201389;-81.606667;906;\N;6251999;44.201389, -81.606667
UPF;Pforheim;Pforheim;Germany;DE;48.9;8.7;429;\N;2921044;48.9, 8.7
IXB;Bagdogra;Bagdogra;India;IN;26.733333000000002;88.333333;733;1277897;1269750;26.733333000000002, 88.333333
IMK;Simikot;Simikot;Nepal;NP;29.966667;81.833333;755;\N;1282988;29.966667, 81.833333
KCJ;Komaio;Komaio;Papua New Guinea;PG;-7.216667;143.6;804;\N;2088628;-7.216667, 143.6
KUX;Kuyol;Kuyol;Papua New Guinea;PG;38.471667;126.0375;804;\N;2088628;38.471667, 126.0375
UIK;Ust-Ilimsk;Ust-Ilimsk;Russian Federation;RU;58.133333;102.55;770;\N;2017370;58.133333, 102.55
HNL;Honolulu International;Honolulu;United States;US;21.333333;-157.933333;67;5856195;6252001;21.333333, -157.933333
LBL;Municipal;Liberal;United States;US;37.05;-100.966667;67;5445820;6252001;37.05, -100.966667
BGR;Bangor International Airport;Bangor;United States;US;44.8;-68.816667;67;5244626;6252001;44.8, -68.816667
BAZ;Barbelos;Barbelos;Brazil;BR;-0.966943999999999;-62.933611;316;\N;3469034;-0.966943999999999, -62.933611
CAW;Bartolomeu Lisandro;Campos;Brazil;BR;-21.75;-41.3;316;3467693;3469034;-21.75, -41.3
ZTB;Tete-a-La Baleine;Tete-a-La Baleine;Canada;CA;50.7;-59.333333;906;\N;6251999;50.7, -59.333333
HCM;Eil;Eil;Somalia;SO;8.0;49.925;573;60019;51537;8.0, 49.925
LAK;Aklavik;Aklavik;Canada;CA;68.216667;-135.0;906;\N;6251999;68.216667, -135.0
ZLT;La Tabatiere;La Tabatiere;Canada;CA;51.0;-59.0;906;\N;6251999;51.0, -59.0
YOW;Ottawa Macdonald-Cartier International;Ottawa;Canada;CA;45.3225;-75.669167;906;6094817;6251999;45.3225, -75.669167
PKU;Sultan Syarif Kasim Ii;Pekanbaru;Indonesia;ID;0.460833;101.444444;832;\N;1643084;0.460833, 101.444444
LPQ;Luang Prabang;Luang Prabang;Laos;LA;19.9;102.15;744;1655559;1655842;19.9, 102.15